date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:52	1220/1220	---MCZ	200	added ('OK')	text/css	etag:W/%224c4-65157b42-384fea;br%22	https://traffic.rta.ac/assets_new/ReadSpeaker.enlargeHL.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/ReadSpeaker.enlargeHL.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:53	149333/149333	---MCZ	200	added ('OK')	text/css	etag:W/%2224755-65157b43-384ffa;br%22	https://traffic.rta.ac/assets_new/bootstrap.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/bootstrap.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:53	149333/149333	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Apr%202021%2010:38:24%20GMT	https://traffic.rta.ae/trfesrv/revamp/common/header_footer_assets/css/bootstrap.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ae/trfesrv/revamp/common/header_footer_assets/css/bootstrap.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:54	59331/59331	---MCZ	200	added ('OK')	text/css	etag:W/%22e7c3-651719e6-385044;br%22	https://traffic.rta.ac/assets_new/header_footer_style.css	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/header_footer_style.css	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:54	2939/2939	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b7b-65157b43-38504e;br%22	https://traffic.rta.ac/assets_new/svgxuse.min.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/svgxuse.min.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:55	267365/267365	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2241465-65157b43-385034;br%22	https://traffic.rta.ac/assets_new/jquery-2.2.4.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/jquery-2.2.4.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:55	35785/35785	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%228bc9-65157b43-385020;br%22	https://traffic.rta.ac/assets_new/bootstrap.min.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/bootstrap.min.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:55	2007/2007	---M--	200	added ('OK')	image/png	etag:%227d7-65157b44-385016;;;%22	https://traffic.rta.ac/assets_new/government-dubai.png	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/government-dubai.png	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:55	7751/7751	---M--	200	added ('OK')	image/png	etag:%221e47-65157b44-385006;;;%22	https://traffic.rta.ac/assets_new/RTA.png	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/RTA.png	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:56	1552/1552	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202024%2010:46:56%20GMT	https://traffic.rta.ac/trfesrv/public_resources/window.location.href	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/trfesrv/public_resources/window.location.href	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
16:16:56	1222/1222	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224c6-65157b44-385040;br%22	https://traffic.rta.ac/assets_new/api.js	C:/Users/Lenovo/Desktop/Website/rta-ac/traffic.rta.ac/assets_new/api.js	(from https://traffic.rta.ac/trfesrv/public_resources/my-ecertificates.do?fromQRCode=true&certType=206&certNo=68329245&trfNo=16408335)
